img_name,object_present,img_height,img_width,processing_time,matches_count
001+.jpg,+,4160,3120,0.20316626399999982,76
002+.jpg,+,4160,3120,0.21018306500000028,91
003-.jpg,-,4160,3120,0.19038759599999988,12
004-.jpg,-,4160,3120,0.23159466699999998,92
005-.jpg,-,4160,3120,0.210492554,77
006+.jpg,+,4160,3120,0.19231914100000047,50
007+.jpg,+,4160,3120,0.2208276790000001,98
008+.jpg,+,4160,3120,0.21341098899999977,76
009+.jpg,+,3120,4160,0.18782641399999989,63
010+.jpg,+,3120,4160,0.20076811700000086,69
011+.jpg,+,3120,4160,0.19679647100000075,82
012+.jpg,+,3120,4160,0.2040003860000006,83
013+.jpg,+,3120,4160,0.2086253549999988,81
014+.jpg,+,3120,4160,0.5451167420000012,90
015-.jpg,-,3120,4160,0.263368238,85
016+.jpg,+,3120,4160,0.2454115459999997,99
017+.jpg,+,3120,4160,0.24655120899999972,59
018+.jpg,+,3120,4160,0.19645737399999952,89
019+.jpg,+,3120,4160,0.18602908699999965,73
020+.jpg,+,3120,4160,0.19492216500000126,81
021-.jpg,-,3120,4160,0.23796051300000087,95
022+.jpg,+,3120,4160,0.18240640599999836,69
023-.jpg,-,3120,4160,0.21505080900000095,90
024+.jpg,+,3120,4160,0.233234092,97
025-.jpg,-,3120,4160,0.24630645899999948,83
026+.jpg,+,3120,4160,0.22156705800000154,78
027-.jpg,-,3120,4160,0.3826384429999976,96
028-.jpg,-,3120,4160,0.30153094599999974,90
029+.jpg,+,3120,4160,0.30921725199999983,92
030+.jpg,+,3120,4160,0.306735812000003,104
031+.jpg,+,3120,4160,0.2860695100000008,96
032+.jpg,+,3120,4160,0.4345181560000029,104
033+.jpg,+,3120,4160,0.3624545339999976,101
034+.jpg,+,3120,4160,0.3096526690000019,112
035+.jpg,+,3120,4160,0.29266352599999834,101
036+.jpg,+,3120,4160,0.22746748599999833,94
037+.jpg,+,3120,4160,0.18694334399999946,76
038+.jpg,+,3120,4160,0.18317736499999882,61
039+.jpg,+,3120,4160,0.18353422499999894,61
040+.jpg,+,3120,4160,0.18773759400000145,52
041-.jpg,-,3120,4160,0.18911174199999792,72
042-.jpg,-,3120,4160,0.2281290980000037,71
043-.jpg,-,3120,4160,0.19701911399999972,87
044-.jpg,-,3120,4160,0.195832474999996,48
045+.jpg,+,3120,4160,0.18306525399999884,55
046+.jpg,+,3120,4160,0.1924675689999944,82
047+.jpg,+,3120,4160,0.22591846099999913,94
048+.jpg,+,3120,4160,0.21145576000000688,84
049+.jpg,+,3120,4160,0.22604280899999907,79
050+.jpg,+,3120,4160,0.20751806199999834,79
051+.jpg,+,3120,4160,0.18169544800000637,104
052+.jpg,+,3120,4160,0.18382397599999933,102
053+.jpg,+,2330,2248,0.23238260200000127,80
054+.jpg,+,2560,2108,0.20679526199999998,71
055+.jpg,+,2490,2151,0.21088573200000127,73
056+.jpg,+,2519,2083,0.212840565999997,65
057+.jpg,+,1969,3120,0.15740488499999827,78
058+.jpg,+,2923,2358,0.2161257309999982,68
059+.jpg,+,1681,3120,0.14132723499999855,55
060+.jpg,+,2133,1807,0.2422100689999951,82
061-.jpg,-,4160,3120,0.18946662799999814,76
062-.jpg,-,4160,3120,0.20800005999999627,63
063-.jpg,-,4160,3120,0.19349748900000208,75
064+.jpg,+,4160,3120,0.30602959200000157,87
065+.jpg,+,3120,4160,0.22261553199999895,55
066+.jpg,+,3120,4160,0.18649647899999877,58
067+.jpg,+,3120,4160,0.19379395200000005,98
068+.jpg,+,3120,4160,0.20934460099999797,67
069+.jpg,+,3120,4160,0.3358435909999997,100
070+.jpg,+,3120,4160,0.24721913700000187,98
071+.jpg,+,3120,4160,0.21276240500000654,81
072-.jpg,-,3120,4160,0.181160552999998,46
073+.jpg,+,3120,4160,0.18511167300000153,41
074+.jpg,+,3120,4160,0.2196031430000005,98
075+.jpg,+,3120,4160,0.23387399199999948,93
076+.jpg,+,4160,3120,0.2610198300000022,102
077+.jpg,+,3120,4160,0.2556361389999964,83
078+.jpg,+,3120,4160,0.19748374200000285,84
079-.jpg,-,4160,3120,0.22235420199999822,84
080+.jpg,+,4160,3120,0.2402757620000031,84
081-.jpg,-,4160,3120,0.22034646999999552,78
082+.jpg,+,4160,3120,0.18544918999999993,71
083+.jpg,+,4160,3120,0.21406589099999707,91
084+.jpg,+,4160,3120,0.1961759130000047,85
085+.jpg,+,4160,3120,0.19689555400000103,83
086+.jpg,+,4160,3120,0.2105837419999972,70
087+.jpg,+,4160,3120,0.20781807699999888,86
088+.jpg,+,4160,3120,0.20023282700000067,72
089-.jpg,-,4160,3120,0.20769451800000382,85
090+.jpg,+,4160,3120,0.19800363699999934,69
091+.jpg,+,4160,3120,0.20725594300000694,77
092+.jpg,+,4160,3120,0.19379750400000262,97
093+.jpg,+,4160,3120,0.18902094800000668,57
094-.jpg,-,4160,3120,0.1810764699999936,23
095-.jpg,-,4160,3120,0.2356148690000026,100
096+.jpg,+,4160,3120,0.19478992199999823,68
097+.jpg,+,4160,3120,0.18372291899999027,37
098+.jpg,+,3120,4160,0.19403080599998646,38
099+.jpg,+,4160,3120,0.1852324689999989,47
100+.jpg,+,4160,3120,0.20238661999999863,34
base.jpg,e,3120,4160,0.1901981129999939,160
